date,country,D,H,I,M,S
2022-01-25,Afghanistan,4,2,2,30,2
2022-01-25,Japan,32,5,3,84,2
2022-01-25,Sweden,1,1,0,7,1
2022-01-26,Afghanistan,5,2,2,31,0
2022-01-26,Japan,33,4,3,84,2
2022-01-26,Sweden,1,2,0,6,1
2022-01-27,Afghanistan,5,2,2,31,0
2022-01-27,Japan,33,3,4,84,2
2022-01-27,Sweden,1,1,1,6,1
2022-01-28,Afghanistan,5,3,1,30,1
2022-01-28,Japan,33,3,3,84,3
2022-01-28,Sweden,1,1,1,6,1
2022-01-29,Afghanistan,5,4,0,29,2
2022-01-29,Japan,33,3,2,85,3
2022-01-29,Sweden,1,1,1,6,1
2022-01-30,Afghanistan,5,4,0,29,2
2022-01-30,Japan,33,3,1,85,4
2022-01-30,Sweden,1,1,1,6,1
2022-01-31,Afghanistan,5,4,0,29,2
2022-01-31,Japan,33,3,0,87,3
2022-01-31,Sweden,1,1,0,7,1
2022-02-01,Afghanistan,5,4,0,29,2
2022-02-01,Japan,33,3,0,87,3
2022-02-01,Sweden,1,1,0,7,1
2022-02-02,Afghanistan,5,4,0,29,2
2022-02-02,Japan,33,3,0,87,3
2022-02-02,Sweden,1,1,0,7,1
2022-02-03,Afghanistan,5,3,1,29,2
2022-02-03,Japan,33,3,0,87,3
2022-02-03,Sweden,1,1,0,8,0
2022-02-04,Afghanistan,5,3,2,28,2
2022-02-04,Japan,33,3,0,87,3
2022-02-04,Sweden,1,1,0,8,0
2022-02-05,Afghanistan,5,2,3,28,2
2022-02-05,Japan,33,3,0,87,3
2022-02-05,Sweden,1,1,0,8,0
2022-02-06,Afghanistan,5,3,3,27,2
2022-02-06,Japan,33,3,0,87,3
2022-02-06,Sweden,1,1,0,8,0
2022-02-07,Afghanistan,5,3,2,28,2
2022-02-07,Japan,33,3,0,87,3
2022-02-07,Sweden,1,1,0,8,0
2022-02-08,Afghanistan,5,3,1,28,3
2022-02-08,Japan,33,2,1,87,3
2022-02-08,Sweden,1,1,0,8,0
2022-02-09,Afghanistan,5,2,1,29,3
2022-02-09,Japan,33,3,1,87,2
2022-02-09,Sweden,1,1,0,8,0
2022-02-10,Afghanistan,5,2,1,29,3
2022-02-10,Japan,33,3,1,87,2
2022-02-10,Sweden,1,1,0,8,0
2022-02-11,Afghanistan,5,2,1,30,2
2022-02-11,Japan,33,3,1,88,1
2022-02-11,Sweden,1,1,0,8,0
2022-02-12,Afghanistan,5,2,1,31,1
2022-02-12,Japan,33,3,0,89,1
2022-02-12,Sweden,1,1,0,8,0
2022-02-13,Afghanistan,5,2,0,31,2
2022-02-13,Japan,33,3,0,90,0
2022-02-13,Sweden,1,1,0,8,0
2022-02-14,Afghanistan,5,2,0,31,2
2022-02-14,Japan,33,3,0,90,0
2022-02-14,Sweden,1,1,0,8,0
2022-02-15,Afghanistan,5,2,0,31,2
2022-02-15,Japan,33,3,0,90,0
2022-02-15,Sweden,1,1,0,8,0
